Date;OR FP Equity;DG FP Equity;TTE FP Equity;AI FP Equity;DSY FP Equity;CS FP Equity;ERF FP Equity;BNP FP Equity;BN FP Equity;CAP FP Equity;CA FP Equity;SGO FP Equity;AC FP Equity;EL FP Equity;VIV FP Equity;MC FP Equity;ML FP Equity;KER FP Equity;PUB FP Equity;RNO FP Equity;SAF FP Equity;HO FP Equity;TEP FP Equity;RMS FP Equity;ENGI FP Equity;ORA FP Equity;MT NA Equity;EN FP Equity;VIE FP Equity;SAN FP Equity;GLE FP Equity;SU FP Equity;AIR FP Equity;LR FP Equity;URW FP Equity;ACA FP Equity;RI FP Equity;STMPA FP Equity
22/06/2007;86.6;55;58.71;44.3233;4.534;31.9115;6.25;86.0613;54.3237;50.89;45.1552;73.9517;42.408;43.7;8.8626;76.46;24.1681;116.82;31.76;115.86;18.9;45.67;32.5;85.65;36.18;21;106.2061;62.49;54.4275;60.0726;125.6697;52.945;24.1;26.71;196.69;27.9778;73.4741;14.34
29/06/2007;87.8;55.48;60.26;45.6587;4.676;31.2764;6.274;85.8766;56.6355;54.37;45.5484;75.7414;42.707;44.185;8.9779;77.09;25.0861;118.55;32.65;119.21;18.99;45.32;32.25;83.91;37.49;20.4;102.741;62.19;55.9508;59.7743;122.0145;52.065;24.12;26.77;190.4;27.8579;75.7996;14.35
06/07/2007;86.61;54.79;61.86;45.1574;4.698;31.6184;6.472;85.8378;58.0321;55.33;47.3741;76.55;45.9106;43.425;8.9019;76.49;25.4967;120.86;33.02;120.17;18.31;44.86;32.31;82.43;37.11;20.4;105.2129;62.99;55.2856;61.1965;123.1323;50.95;24.28;26.74;187.58;27.5903;74.5744;14.43
13/07/2007;85.06;57.3;63.05;46.8864;4.65;31.892;7.325;84.9145;53.8047;55.27;47.5226;76.7771;46.5345;46.195;9.0454;76.04;25.4097;119.71;32.98;116.66;18.7;44.5;32.45;79.35;37;20.65;107.2876;63.64;55.4495;61.4551;120.5684;52.385;23.98;26.7;189.6;27.4242;75.5084;14.48
20/07/2007;82.76;55.77;59.47;45.7712;4.495;30.6217;7.455;81.8724;53.0592;55.95;46.6141;74.8147;43.3048;45.95;8.916;74.01;24.6223;121.09;32.24;112.18;18.87;43.41;32.46;77.5;35.94;20.15;104.9922;61.15;53.82;62.1215;120.249;50.155;23.36;26.08;187.91;27.175;75.1755;14.06
27/07/2007;82.51;52.86;56.67;43.3674;4.329;27.5635;6.561;77.4114;51.0494;50.33;45.1116;73.8426;40.1726;44.45;8.871;73.01;21.7598;115.48;31.34;103.26;18.61;42.05;29.74;73.6;34.13;19.4;98.415;57.61;51.8724;59.9533;111.5546;47.1;22.5;24.95;165.39;25.4679;70.8712;12.66
03/08/2007;82.6;51.14;54.71;43.4423;4.361;27.6026;6.82;78.1987;49.4547;46.33;44.7097;74.2151;38.6715;43.98;8.4799;72.29;22.1511;115.55;31.32;103.48;18.52;42.77;30.92;71.14;33.56;20.22;102.5423;55.8;52.4027;59.4659;113.4975;48.435;21.92;25.28;166.24;25.1265;71.2919;12.38
10/08/2007;85.6;48.99;53.09;43.5782;4.491;27.3778;6.891;76.7505;51.6438;43.05;43.8449;72.3618;37.1444;43.25;8.0888;73.18;20.3636;109.43;31.53;95.13;17.42;39.32;28.7;81.83;33.06;19.91;92.6324;52.58;53.685;58.3222;108.4139;46.205;20.98;23.61;174.52;24.8866;71.7172;12.56
17/08/2007;83.57;47.65;52.94;41.24;4.2;28.3549;6.574;76.0022;50.6342;43.62;41.7396;70.1814;35.9032;42.43;8.1367;71.11;20.1631;104.08;31.13;93.95;17.1;38.22;30.1;75.88;32.25;21;88.2182;50.76;49.7705;57.6061;104.8297;44.64;19.8;24.32;169.89;25.1726;70.0852;12.19
24/08/2007;84.55;51.54;54.14;43.2034;4.36;29.0291;6.6;75.526;52.1345;47.12;44.0895;70.7174;39.3083;44.66;8.3196;72.74;22.2115;110.72;31.38;100.25;18;41.01;29.22;79.3;34;21.76;102.763;54.67;51.3421;58.9885;105.7879;47.005;21.36;25.5;186.5;25.3664;70.4042;12.43
31/08/2007;85.98;52.24;55.25;43.836;4.316;28.736;6.79;75.2441;52.7573;47.5;44.8757;72.5526;40.9459;44.55;8.4433;73.89;22.3371;116.12;31.72;99.02;17.33;41.65;30.09;79.17;36.8;22.14;106.5593;57.81;54.2635;59.5952;105.016;48.75;21.78;26.06;175.55;25.5602;71.4444;12.78
07/09/2007;83.04;50.27;54.42;41.24;4.338;27.7589;7.095;71.065;51.5023;44.31;41.792;65.4481;39.1459;42.45;8.1817;71.19;21.139;115.66;30.43;90.47;17.08;39.72;29.34;78.09;33.44;21.96;102.6306;56.86;51.882;59.3366;101.0503;46.445;20.23;25.54;168.7;24.4068;69.4148;12.59
14/09/2007;88.22;49.09;56.27;42.3365;4.381;28.052;6.823;71.6481;53.0309;41.51;42.3423;64.9666;40.725;43.35;8.3167;72.27;21.2404;118.95;29.58;92.76;16.78;39.45;28.98;78.49;34.34;22.56;108.5015;58.52;56.0665;61.1667;100.6954;46.235;20.41;24.66;173.05;24.7574;70.529;12.03
21/09/2007;92.53;54.18;58.1;44.4592;4.551;29.7521;6.67;74.9039;53.3235;41.5;42.8403;67.0652;40.3221;44;8.4687;74.64;22.1124;120.24;28.07;100;16.59;40.29;28.05;80.04;34.88;22.72;119.0736;60.51;56.8957;60.013;106.9856;47.335;20.33;23.75;187.43;25.4126;68.3144;11.67
28/09/2007;92;54.79;57.02;43.9812;4.602;30.6608;6.429;74.5832;52.0873;43.22;42.9189;66.4929;40.4585;44;8.328;75.77;22.7743;120.73;28.84;101.62;16.93;41.11;27.33;78.92;36.44;23.49;122.2518;60.49;58.2263;59.0582;104.4039;44.3;21.56;23.57;180.62;24.9604;70.7509;11.79
05/10/2007;92.85;54.87;54.95;44.6888;4.788;31.5402;7.198;80.0939;52.6818;44.75;44.2817;68.9095;43.8962;44.7;8.449;77.5;23.5352;125.86;29.94;111.36;17.44;43.4;28.2;86.7;36.53;22.99;121.8325;60.85;58.2263;60.7489;113.3733;47.91;22.27;24.3;182.9;26.5383;71.8883;11.56
12/10/2007;90.54;53.56;55.59;44.6981;4.789;30.9051;7.347;77.6544;50.2567;48.29;41.6697;65.9569;44.2925;45.31;8.6994;77.05;24.0884;125.29;30.08;110.42;17.44;43.82;27.5;89.05;37.84;23.96;122.4063;64.36;60.3571;62.3104;108.9374;47.295;23.77;24.58;182.21;25.5233;70.9682;11.82
19/10/2007;92.19;52.87;55.86;43.9109;4.593;29.3906;7.456;73.5433;54.2482;46.17;42.2899;63.8037;42.2261;43.88;8.328;79.15;22.8637;124.85;28.84;106.05;17.19;43.45;28.05;89.52;39.06;24.15;121.5014;62.94;58.8144;59.0681;103.5167;46.595;23.86;24;172.57;24.5729;70.0713;11.35
26/10/2007;89.2;53.3;55.36;44.2952;4.652;29.2734;7.35;71.8619;56.5884;45.32;42.0104;67.3651;42.512;44.05;8.7613;79.52;23.5691;120.58;29.58;110.91;17.77;43.19;27.9;90.5;39.68;25.66;123.5982;65.3;60.3571;59.5256;99.0098;48;24.5;25.27;170.59;24.6836;70.7509;11.94
