Dates;Mkt-RF;SMB;HML;RF
02/07/1926;    1.60;   -0.62;   -0.83;   0.056
10/07/1926;    0.36;   -0.88;    0.31;   0.056
17/07/1926;    1.01;    0.59;   -1.44;   0.056
24/07/1926;   -2.05;    0.10;   -0.18;   0.056
31/07/1926;    3.04;   -1.82;   -0.90;   0.056
07/08/1926;    2.01;    0.07;    0.55;   0.063
14/08/1926;    0.33;   -0.63;    0.71;   0.063
21/08/1926;   -1.11;    0.31;    1.87;   0.063
28/08/1926;    0.53;    0.20;    0.64;   0.063
03/09/1926;    1.87;   -0.45;    0.61;   0.057
11/09/1926;   -1.27;    0.17;   -0.03;   0.057
18/09/1926;    0.16;   -1.11;    0.34;   0.057
25/09/1926;    0.62;   -0.73;   -0.51;   0.057
02/10/1926;    0.48;   -0.21;   -0.28;   0.080
09/10/1926;   -4.14;   -0.36;   -0.28;   0.080
16/10/1926;   -1.62;   -1.22;    1.22;   0.080
23/10/1926;    1.05;    0.63;   -0.35;   0.080
30/10/1926;    0.83;    0.93;    0.44;   0.080
06/11/1926;    1.47;   -0.86;    0.34;   0.077
13/11/1926;    0.71;    0.48;   -0.98;   0.077
20/11/1926;   -0.56;    0.68;    0.74;   0.077
27/11/1926;    1.03;   -0.11;   -0.25;   0.077
04/12/1926;    0.90;    0.07;   -0.86;   0.069
11/12/1926;    0.81;    0.44;   -0.12;   0.069
18/12/1926;    1.38;   -0.95;    0.86;   0.069
24/12/1926;    0.25;   -0.31;   -0.80;   0.069
31/12/1926;   -0.89;    0.37;    0.25;   0.069
08/01/1927;    0.17;    0.62;   -0.07;   0.062
15/01/1927;    0.06;   -0.92;    2.39;   0.062
22/01/1927;   -0.04;    0.23;    1.62;   0.062
29/01/1927;   -0.83;   -0.15;    0.57;   0.062
05/02/1927;    1.66;    1.41;    2.65;   0.064
11/02/1927;    0.39;   -0.17;   -0.10;   0.064
19/02/1927;    1.15;   -0.45;    1.48;   0.064
26/02/1927;    0.96;    0.29;   -1.48;   0.064
05/03/1927;   -0.68;    0.08;   -1.45;   0.074
12/03/1927;    0.83;   -0.51;   -0.05;   0.074
19/03/1927;    0.05;   -1.05;   -2.33;   0.074
26/03/1927;    0.47;    0.15;   -0.07;   0.074
02/04/1927;   -0.17;   -0.86;    1.12;   0.064
09/04/1927;    1.83;   -0.58;    1.90;   0.064
16/04/1927;    0.36;    1.62;   -1.58;   0.064
23/04/1927;    0.47;   -0.91;    1.24;   0.064
30/04/1927;   -2.01;    0.56;   -0.81;   0.064
07/05/1927;    2.69;    0.62;   -0.06;   0.075
14/05/1927;    0.40;   -0.22;    0.61;   0.075
21/05/1927;    1.10;   -0.81;    0.32;   0.075
28/05/1927;    0.84;    2.53;    2.89;   0.075
04/06/1927;    0.19;   -0.28;    0.34;   0.065
11/06/1927;    0.03;    0.56;    0.02;   0.065
18/06/1927;    0.01;    0.75;    1.02;   0.065
25/06/1927;   -1.38;   -0.34;   -1.21;   0.065
02/07/1927;    0.17;   -0.31;    0.00;   0.075
09/07/1927;    1.17;   -0.31;    0.09;   0.075
16/07/1927;    1.84;   -0.91;   -0.10;   0.075
23/07/1927;    0.96;    0.15;   -0.94;   0.075
30/07/1927;    1.82;   -2.53;    0.12;   0.075
06/08/1927;    0.73;    0.15;   -1.60;   0.069
13/08/1927;   -1.62;   -0.72;   -1.42;   0.069
20/08/1927;    2.73;    0.33;    0.50;   0.069
27/08/1927;    0.73;   -0.24;   -1.08;   0.069
03/09/1927;    1.34;   -0.47;   -0.74;   0.052
10/09/1927;    1.16;   -1.12;    0.18;   0.052
17/09/1927;    1.27;   -0.75;   -0.85;   0.052
24/09/1927;    0.08;   -0.43;   -0.07;   0.052
01/10/1927;    0.82;   -0.93;    0.87;   0.063
08/10/1927;   -1.25;    0.36;   -0.99;   0.063
15/10/1927;    0.22;    1.19;   -1.24;   0.063
22/10/1927;   -4.13;    0.34;   -0.34;   0.063
29/10/1927;   -0.37;    0.31;   -2.23;   0.063
05/11/1927;    3.44;   -0.43;   -0.10;   0.052
12/11/1927;    1.33;    0.50;   -1.47;   0.052
19/11/1927;    1.62;    1.48;    1.05;   0.052
26/11/1927;    0.36;    0.74;    0.73;   0.052
03/12/1927;    0.49;   -0.63;    1.00;   0.056
10/12/1927;   -0.63;    1.47;   -1.20;   0.056
17/12/1927;    1.82;    0.33;   -0.51;   0.056
24/12/1927;    0.53;   -0.90;    0.91;   0.056
31/12/1927;    0.33;    1.46;   -1.60;   0.056
07/01/1928;    0.28;    1.82;    0.42;   0.063
14/01/1928;   -1.16;    0.46;    0.23;   0.063
21/01/1928;    0.31;    0.32;   -0.68;   0.063
28/01/1928;    0.12;    1.46;   -1.08;   0.063
04/02/1928;   -1.02;   -0.09;   -0.71;   0.082
11/02/1928;    0.36;   -0.58;   -0.65;   0.082
18/02/1928;   -3.09;   -1.87;   -0.76;   0.082
25/02/1928;    1.57;    0.12;    1.55;   0.082
03/03/1928;    1.25;    0.31;   -1.61;   0.073
10/03/1928;    2.00;   -0.64;   -0.07;   0.073
17/03/1928;    2.09;   -1.20;    1.50;   0.073
24/03/1928;    1.87;    0.48;   -1.58;   0.073
31/03/1928;    1.74;    0.98;    0.67;   0.073
05/04/1928;    0.77;    1.08;    0.67;   0.056
14/04/1928;    1.74;    2.14;   -0.22;   0.056
20/04/1928;   -0.91;    0.42;    0.66;   0.056
28/04/1928;    2.55;   -0.27;    2.85;   0.056
04/05/1928;    1.96;    0.26;   -1.37;   0.081
11/05/1928;    0.76;    0.75;   -1.08;   0.081
18/05/1928;   -1.34;    1.13;   -0.22;   0.081
25/05/1928;   -0.17;    0.77;   -0.59;   0.081
02/06/1928;    1.28;    0.00;   -0.53;   0.078
09/06/1928;   -5.57;   -0.35;   -1.88;   0.078
16/06/1928;   -1.93;   -3.41;    1.84;   0.078
23/06/1928;   -1.81;   -0.41;    0.71;   0.078
30/06/1928;    3.57;   -0.19;    0.17;   0.078
07/07/1928;    1.26;   -0.08;    0.53;   0.081
14/07/1928;   -2.57;   -0.13;   -0.50;   0.081
21/07/1928;   -0.19;   -0.12;   -0.01;   0.081
28/07/1928;    2.37;   -0.83;   -0.54;   0.081
04/08/1928;   -0.01;    0.03;    0.40;   0.080
11/08/1928;   -0.73;    0.15;   -0.28;   0.080
18/08/1928;    2.03;   -0.60;    0.23;   0.080
25/08/1928;    3.03;   -0.81;   -1.45;   0.080
01/09/1928;    2.23;   -0.72;   -0.85;   0.067
08/09/1928;    0.76;    0.73;    0.15;   0.067
15/09/1928;    1.22;   -0.09;    1.20;   0.067
22/09/1928;    0.37;    1.80;    0.63;   0.067
29/09/1928;    0.22;   -0.23;   -1.19;   0.067
06/10/1928;   -0.92;    2.14;    0.27;   0.102
13/10/1928;    1.56;    0.85;   -2.72;   0.102
20/10/1928;    1.28;   -0.02;    0.02;   0.102
27/10/1928;    0.20;   -0.01;    0.54;   0.102
03/11/1928;    0.35;   -1.18;   -0.47;   0.096
10/11/1928;    3.60;   -0.65;    1.91;   0.096
17/11/1928;    2.80;   -0.77;   -1.01;   0.096
23/11/1928;    1.38;   -0.71;    2.16;   0.096
01/12/1928;    1.69;    0.95;    0.45;   0.015
08/12/1928;   -8.67;    0.53;   -1.58;   0.015
15/12/1928;    2.65;    0.43;    1.43;   0.015
22/12/1928;    3.50;   -0.84;   -1.10;   0.015
29/12/1928;    2.78;   -0.84;   -0.31;   0.015
05/01/1929;    2.00;    0.21;    0.43;   0.086
12/01/1929;   -0.40;    0.46;    0.50;   0.086
19/01/1929;    1.10;   -0.60;    0.92;   0.086
26/01/1929;    1.98;   -2.28;   -2.85;   0.086
02/02/1929;    1.74;   -1.74;    1.75;   0.089
08/02/1929;   -4.90;    0.02;    0.26;   0.089
16/02/1929;   -1.40;   -0.77;    0.06;   0.089
21/02/1929;    2.91;    0.46;   -0.07;   0.089
02/03/1929;    3.51;   -0.35;    0.89;   0.086
09/03/1929;   -1.83;   -1.18;    0.75;   0.086
16/03/1929;    2.81;   -0.82;   -0.37;   0.086
23/03/1929;   -2.93;   -0.53;   -0.46;   0.086
28/03/1929;    0.46;   -2.08;    0.65;   0.086
06/04/1929;   -1.63;    0.12;    0.43;   0.089
13/04/1929;    0.27;   -0.35;   -0.77;   0.089
20/04/1929;    1.02;    0.38;   -1.39;   0.089
27/04/1929;    0.89;   -0.02;    0.59;   0.089
04/05/1929;    2.42;   -1.36;    1.01;   0.110
11/05/1929;   -0.84;   -0.09;   -0.07;   0.110
18/05/1929;   -1.19;   -1.15;   -1.38;   0.110
25/05/1929;   -4.39;   -1.05;   -0.50;   0.110
01/06/1929;   -0.91;   -2.90;    1.51;   0.130
08/06/1929;    1.82;    0.12;    0.20;   0.130
15/06/1929;    1.73;   -0.14;    0.58;   0.130
22/06/1929;    2.15;   -0.85;   -0.32;   0.130
29/06/1929;    2.99;   -1.48;   -3.14;   0.130
06/07/1929;    2.44;   -0.91;   -0.32;   0.084
13/07/1929;    1.42;   -0.55;    1.89;   0.084
20/07/1929;    0.64;   -1.28;    1.70;   0.084
27/07/1929;   -0.92;   -0.97;   -1.04;   0.084
03/08/1929;    3.07;   -2.40;   -0.42;   0.101
10/08/1929;   -3.28;   -1.23;    1.95;   0.101
17/08/1929;    4.72;   -1.66;    0.61;   0.101
24/08/1929;    2.46;   -3.16;   -1.48;   0.101
30/08/1929;    1.76;   -0.97;   -0.16;   0.101
07/09/1929;    0.24;   -0.84;   -1.08;   0.088
14/09/1929;   -1.66;    1.54;   -0.10;   0.088
21/09/1929;   -0.11;    0.21;   -0.41;   0.088
28/09/1929;   -3.15;   -0.16;    0.69;   0.088
05/10/1929;   -1.88;   -0.80;   -0.15;   0.114
11/10/1929;    2.77;    0.18;    0.71;   0.114
19/10/1929;   -8.13;    1.52;    2.62;   0.114
26/10/1929;   -7.70;   -3.01;    2.52;   0.114
31/10/1929;   -7.16;   -1.92;    2.78;   0.114
08/11/1929;  -11.74;    1.79;    3.47;   0.094
15/11/1929;   -3.99;   -2.51;   -0.08;   0.094
22/11/1929;    5.63;   -0.17;    0.50;   0.094
27/11/1929;   -2.45;    0.29;    1.34;   0.094
07/12/1929;    7.51;   -1.42;   -1.95;   0.091
14/12/1929;   -3.02;   -0.08;    1.49;   0.091
21/12/1929;   -6.32;   -1.27;    1.77;   0.091
28/12/1929;    0.14;   -1.50;   -0.36;   0.091
04/01/1930;    3.85;    1.19;   -1.79;   0.035
11/01/1930;   -0.27;    2.00;    0.94;   0.035
18/01/1930;   -0.48;   -1.37;    0.99;   0.035
25/01/1930;    3.35;    0.99;   -0.41;   0.035
01/02/1930;    3.22;   -0.22;   -3.05;   0.074
08/02/1930;    0.94;   -0.31;    1.07;   0.074
15/02/1930;   -0.10;    1.00;    1.09;   0.074
21/02/1930;   -0.72;   -0.24;    0.03;   0.074
01/03/1930;    2.14;    0.48;   -1.87;   0.087
08/03/1930;    0.69;    1.27;   -0.56;   0.087
15/03/1930;   -0.95;    1.44;    1.41;   0.087
22/03/1930;    2.79;   -0.04;    0.63;   0.087
29/03/1930;    3.54;   -0.19;   -0.61;   0.087
05/04/1930;    1.91;   -0.16;   -1.86;   0.053
12/04/1930;    0.30;    0.16;   -0.85;   0.053
17/04/1930;   -0.51;    0.79;   -0.85;   0.053
26/04/1930;   -1.68;   -0.67;    2.71;   0.053
03/05/1930;   -9.09;   -0.70;    2.52;   0.064
10/05/1930;    4.65;   -1.16;   -2.96;   0.064
17/05/1930;    0.86;    0.58;    1.34;   0.064
24/05/1930;   -0.35;   -0.92;   -0.39;   0.064
29/05/1930;    1.01;   -0.19;   -1.05;   0.064
07/06/1930;   -5.29;   -0.16;    2.01;   0.067
14/06/1930;   -5.55;   -1.36;    0.49;   0.067
21/06/1930;   -9.00;   -2.80;    2.48;   0.067
28/06/1930;    0.41;    0.22;   -1.72;   0.067
03/07/1930;    1.69;    0.50;    1.76;   0.050
12/07/1930;    2.76;   -2.08;   -0.67;   0.050
19/07/1930;    3.57;    2.05;    0.87;   0.050
26/07/1930;    0.64;   -1.38;   -1.74;   0.050
02/08/1930;   -2.21;    0.50;   -0.71;   0.022
09/08/1930;   -4.82;    0.10;   -0.99;   0.022
16/08/1930;    1.97;   -1.53;    0.93;   0.022
23/08/1930;    0.96;   -0.04;   -1.37;   0.022
29/08/1930;    2.20;   -1.05;    0.48;   0.022
06/09/1930;    1.00;   -0.07;    0.68;   0.055
13/09/1930;   -0.61;    1.44;   -0.56;   0.055
20/09/1930;   -3.23;   -0.19;   -1.24;   0.055
27/09/1930;   -7.06;   -1.81;   -2.60;   0.055
04/10/1930;   -0.48;   -0.06;   -1.70;   0.022
11/10/1930;   -8.00;   -1.16;    0.82;   0.022
18/10/1930;   -3.54;   -1.00;   -1.81;   0.022
25/10/1930;    3.14;   -0.35;   -0.22;   0.022
01/11/1930;   -3.07;   -0.33;   -0.63;   0.033
08/11/1930;   -6.69;    1.66;   -2.10;   0.033
15/11/1930;    6.59;    0.41;   -2.42;   0.033
22/11/1930;   -0.09;    0.55;    3.16;   0.033
29/11/1930;   -2.57;    0.84;   -1.22;   0.033
06/12/1930;   -1.90;   -0.11;   -2.21;   0.035
13/12/1930;   -7.62;   -1.27;   -3.05;   0.035
20/12/1930;    2.61;   -2.77;    0.30;   0.035
27/12/1930;   -4.11;    0.65;   -4.10;   0.035
03/01/1931;    8.96;   -2.01;    6.44;   0.036
10/01/1931;    1.29;    2.11;    6.61;   0.036
17/01/1931;   -3.39;    1.22;   -1.30;   0.036
24/01/1931;    4.12;   -1.01;    0.22;   0.036
31/01/1931;   -0.99;    0.85;   -0.62;   0.036
07/02/1931;    2.21;    0.39;   -0.61;   0.010
14/02/1931;    4.10;    0.69;    0.18;   0.010
21/02/1931;    4.38;    1.91;    0.26;   0.010
28/02/1931;   -0.12;   -0.11;    1.82;   0.010
07/03/1931;   -1.75;    0.15;   -1.28;   0.032
14/03/1931;   -0.60;    0.70;   -0.86;   0.032
21/03/1931;    1.85;    1.63;    0.42;   0.032
28/03/1931;   -4.99;    0.67;   -0.64;   0.032
04/04/1931;   -1.16;   -0.17;   -0.74;   0.019
11/04/1931;   -1.09;    0.33;   -0.68;   0.019
18/04/1931;   -3.54;   -0.93;   -1.04;   0.019
