Dates;OR FP Equity;DG FP Equity;TTE FP Equity;AI FP Equity;DSY FP Equity;CS FP Equity;ERF FP Equity;BNP FP Equity;BN FP Equity;CAP FP Equity;CA FP Equity;SGO FP Equity;AC FP Equity;EL FP Equity;VIV FP Equity;MC FP Equity;ML FP Equity;KER FP Equity;PUB FP Equity;RNO FP Equity;SAF FP Equity;HO FP Equity;TEP FP Equity;RMS FP Equity;ENGI FP Equity;ORA FP Equity;MT NA Equity;EN FP Equity;VIE FP Equity;SAN FP Equity;GLE FP Equity;SU FP Equity;AIR FP Equity;LR FP Equity;URW FP Equity;ACA FP Equity;RI FP Equity;STMPA FP Equity
22/06/2007;25.77;19.85;13.21;22.66;#N/A;10.08;51.48;10.37;35.72;23.03;17.11;16.96;23.96;27.14;2.62;19.21;25.33;20.26;15.05;10.31;786.16;19.86;17.66;34.12;15.46;52.63;10.46;22.06;29.75;20.19;11.9;17.98;#N/A;17.21;#N/A;7.72;26.17;20.83
29/06/2007;26.13;20.03;13.65;23.34;#N/A;9.88;51.68;10.34;37.24;24.6;17.26;17.37;24.13;27.44;2.65;19.37;26.29;20.56;15.47;10.61;789.9;19.7;17.52;33.43;16.02;51.13;10.19;21.96;30.58;20.09;11.55;17.68;#N/A;17.24;#N/A;7.69;27;20.98
06/07/2007;24.4;19.22;13.8;21.49;#N/A;9.76;63.83;9.77;26.51;19.55;17.92;22.59;13.35;25.7;2.87;19.12;20.9;16.67;15.5;12.19;#N/A;11.53;18.36;31.46;17.42;26.53;9.63;21.19;28.29;19.27;#N/A;16.1;#N/A;18.27;#N/A;7.8;20.5;#N/A
13/07/2007;23.96;20.11;14.23;22.31;#N/A;9.84;72.24;9.66;24.58;19.53;17.98;22.66;13.53;27.33;2.92;19.01;20.83;16.51;15.48;11.83;#N/A;11.44;18.44;30.29;17.37;26.85;9.94;21.41;28.37;19.36;#N/A;16.56;#N/A;18.24;#N/A;7.75;20.76;#N/A
20/07/2007;23.31;19.57;13.45;21.78;#N/A;9.45;73.52;9.31;24.24;19.77;17.64;22.08;12.59;27.19;2.88;18.5;20.18;16.7;15.14;11.38;#N/A;11.16;18.44;29.58;16.87;26.2;9.74;20.57;27.54;19.57;#N/A;15.85;#N/A;17.82;#N/A;7.68;20.67;#N/A
27/07/2007;23.24;18.55;12.65;20.64;#N/A;8.5;64.7;8.81;23.32;17.78;17.07;21.79;11.68;26.3;2.86;18.25;17.84;15.93;14.71;10.47;#N/A;10.81;16.9;28.09;16.02;25.23;9.01;19.38;26.54;18.88;#N/A;14.89;#N/A;17.05;#N/A;7.2;19.48;#N/A
03/08/2007;23.27;17.94;12.35;20.67;#N/A;8.52;67.26;8.9;22.59;16.37;16.92;21.9;11.24;26.02;2.74;18.07;18.16;15.94;14.7;10.5;#N/A;10.99;17.57;27.15;15.76;26.29;9.49;18.77;26.81;18.73;#N/A;15.31;#N/A;17.27;#N/A;7.1;19.6;#N/A
10/08/2007;24.11;17.19;11.89;20.74;#N/A;8.45;67.96;8.73;23.59;15.21;16.59;21.35;10.8;25.59;2.61;18.29;16.69;15.09;14.8;9.65;#N/A;10.11;16.31;31.23;15.52;25.89;8.52;17.69;27.47;18.37;#N/A;14.6;#N/A;16.13;#N/A;7.03;19.72;#N/A
17/08/2007;23.54;16.72;11.69;19.62;#N/A;8.75;64.83;8.65;23.13;15.41;15.79;20.71;10.44;25.11;2.63;17.78;16.53;14.35;14.62;9.53;#N/A;9.83;17.1;28.96;15.14;27.31;8;17.08;25.46;18.14;#N/A;14.11;#N/A;16.62;#N/A;7.11;19.27;#N/A
24/08/2007;23.82;18.08;12.11;20.56;#N/A;8.96;65.09;8.59;23.81;16.65;16.68;20.87;11.43;26.43;2.69;18.18;18.21;15.27;14.73;10.17;#N/A;10.54;16.6;30.27;15.96;28.3;9.43;18.39;26.27;18.58;#N/A;14.86;#N/A;17.42;#N/A;7.17;19.36;#N/A
31/08/2007;24.22;18.33;12.33;20.86;#N/A;8.87;66.96;8.56;24.1;16.78;16.98;21.41;11.9;26.36;2.73;18.47;18.31;16.01;14.89;10.04;#N/A;10.71;17.1;30.22;17.28;28.79;9.76;19.45;27.76;18.77;#N/A;15.41;#N/A;17.81;#N/A;7.22;19.64;#N/A
07/09/2007;23.39;17.64;12.27;19.62;#N/A;8.56;69.97;8.08;23.52;15.66;15.81;19.31;11.38;25.12;2.64;17.8;17.33;15.95;14.29;9.18;#N/A;10.21;16.67;29.81;15.7;28.56;9.5;19.13;26.54;18.69;#N/A;14.68;#N/A;17.45;#N/A;6.9;19.08;#N/A
14/09/2007;24.85;17.22;12.76;20.14;#N/A;8.66;67.29;8.15;24.22;14.67;16.02;19.17;11.84;25.65;2.69;18.07;17.41;16.41;13.89;9.41;#N/A;10.14;16.47;29.96;16.12;29.34;10.1;19.69;28.69;19.27;#N/A;14.61;#N/A;16.85;#N/A;7;19.39;#N/A
